# Rime user dictionary
#@/db_name	custom_dict
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	176129
#@/user_id	5c7bd513-b581-4b5c-b06b-c0a120567e25
a 	呵	c=1 d=1 t=83579
xi cha 	喜茶	c=3 d=1.97531 t=106116
xi che 	洗車	c=2 d=7.54217e-06 t=176129
xi dian 	洗點	c=1 d=1 t=110446
xi fa shui 	洗髮水	c=15 d=1.93265 t=127286
xi fen 	細分	c=1 d=0.1 t=157141
xi fu 	媳婦	c=4 d=1.07065 t=157673
xi fu er 	媳婦兒	c=7 d=0.162026 t=176129
xi ge 	洗個	c=3 d=0.1 t=140483
xi ge tou 	洗個頭	c=1 d=1 t=140484
xi ge zao 	洗個澡	c=1 d=1 t=54663
xi geng 	細更	c=1 d=1 t=119758
xi gua 	西瓜	c=1 d=1 t=21926
xi gua zi 	西瓜子	c=1 d=1 t=21924
xi guan 	吸管	c=1 d=1 t=74189
xi guan 	習慣	c=11 d=1 t=114152
xi hai 	西海	c=1 d=1 t=100791
xi han 	稀罕	c=1 d=1 t=122328
xi hong shi 	西紅柿	c=7 d=2.4762e-09 t=176129
xi hu 	西湖	c=1 d=0.1 t=127683
xi huan 	喜歡	c=12 d=1 t=145217
xi jie 	喜姐	c=1 d=1 t=136433
xi jie 	細節	c=9 d=1.60938e-10 t=176129
xi jiu 	喜酒	c=1 d=1 t=103611
xi kan 	細看	c=1 d=1 t=72981
xi lan hua 	西蘭花	c=1 d=1 t=26129
xi lian 	洗臉	c=1 d=1 t=116713
xi lin 	西林	c=1 d=1 t=118937
xi mei 	西梅	c=5 d=2.22093e-05 t=176129
xi mei zhi 	西梅汁	c=6 d=1 t=85784
xi men 	西門	c=1 d=1 t=143767
xi mian 	洗面	c=1 d=1 t=84158
xi mie 	熄滅	c=1 d=1 t=31116
xi na ge 	席那個	c=1 d=1 t=86873
xi nao 	洗腦	c=1 d=1 t=24358
xi nen 	細嫩	c=1 d=0.1 t=91489
xi nen na ge 	細嫩那個	c=1 d=1 t=91490
xi qian 	喜錢	c=1 d=1 t=60633
xi qing 	喜慶	c=1 d=1 t=64206
xi ren 	襲人	c=1 d=1 t=10370
xi shi 	稀釋	c=0 d=0.1 t=20065
xi shi xia 	稀釋下	c=1 d=1 t=20066
xi shou 	吸收	c=1 d=1 t=164369
xi shou hao 	吸收好	c=1 d=1 t=47353
xi tang 	喜糖	c=3 d=1 t=128510
xi tang 	西塘	c=1 d=1 t=73575
xi tong 	攜同	c=1 d=1 t=153200
xi tong 	系統	c=80 d=0.496743 t=176129
xi tong ao nao ge 	系統懊惱哥	c=1 d=1 t=46823
xi tong lan 	系統欄	c=2 d=1.97531 t=41437
xi tong pan 	系統盤	c=1 d=1 t=30977
xi tou 	洗頭	c=4 d=1 t=133893
xi tou fa 	洗頭髮	c=1 d=1 t=109929
xi wan 	洗完	c=9 d=1 t=167411
xi wang 	希望	c=27 d=1 t=172327
xi xi 	洗洗	c=9 d=6.85748e-05 t=176129
xi xi 	西溪	c=0 d=0.1 t=24372
xi xi shi di 	西溪溼地	c=1 d=1 t=24373
xi xia 	洗下	c=1 d=1 t=95198
xi yi fu 	洗衣服	c=1 d=1 t=86337
xi yi xia 	洗一下	c=1 d=1 t=174934
xi yi ye 	洗衣液	c=1 d=1 t=101762
xi yin 	吸引	c=1 d=1 t=124995
xi zao 	洗澡	c=3 d=1.05475 t=133892
xi zhan 	西站	c=2 d=1.97045 t=26458
xi zhuang 	西裝	c=2 d=1.90032 t=124367
xi zi 	喜子	c=5 d=1 t=35216
xi zong 	喜總	c=12 d=0.0366992 t=176129
xia 	下	c=610 d=0.315286 t=176129
xia 	嚇	c=7 d=1 t=150768
xia 	夏	c=1 d=1 t=19944
xia 	瞎	c=14 d=1.00001 t=169991
xia 	蝦	c=1 d=1 t=101550
xia ba 	下吧	c=5 d=1.03956 t=174738
xia ban 	下半	c=1 d=7.79331e-09 t=176129
xia ban 	下班	c=313 d=0.590333 t=176129
xia ban le 	下班了	c=1 d=1 t=150459
xia ban ma 	下班嘛	c=1 d=1 t=71074
xia ban na 	下班那	c=1 d=1 t=82435
xia ban nian 	下半年	c=1 d=0.1 t=46993
xia ban xia ban 	下班下班	c=5 d=1 t=168793
xia bu 	下不	c=1 d=1 t=126125
xia cai 	瞎猜	c=0 d=0.1 t=96173
xia che 	下車	c=2 d=1 t=127154
xia ci 	下次	c=62 d=0.00123474 t=176129
xia ci 	瑕疵	c=1 d=1 t=97473
xia dan 	下單	c=17 d=0.729818 t=176129
xia de 	下的	c=4 d=1 t=175500
xia di tie 	下地鐵	c=2 d=1 t=98030
xia diao 	下掉	c=1 d=1 t=112478
xia fa 	下發	c=123 d=1.92356 t=176064
xia gao 	瞎搞	c=3 d=1.07342e-10 t=176129
xia ge 	下個	c=7 d=1 t=154671
xia ge yue 	下個月	c=10 d=7.0177e-11 t=176129
xia guan zi 	下馆子	c=1 d=1 t=98024
xia gui 	下跪	c=1 d=1 t=156055
xia hua xian 	下劃線	c=1 d=1 t=10282
xia ji 	下級	c=4 d=1.93707 t=145781
xia jia 	下架	c=2 d=1 t=31451
xia jiang 	下降	c=1 d=1 t=33660
xia kan 	瞎看	c=1 d=1 t=7544
xia ke 	下課	c=1 d=1 t=7101
xia la 	下拉	c=9 d=1 t=153225
xia la kuang 	下拉框	c=3 d=1 t=107240
xia lai 	下來	c=43 d=1 t=175950
xia lia 	下倆	c=2 d=1 t=151065
xia lou 	下樓	c=2 d=1 t=127883
xia ma wei 	下馬威	c=1 d=3.2409e-10 t=176129
xia mang 	瞎忙	c=1 d=1 t=73070
xia mao 	瞎貓	c=0 d=0.1 t=95176
xia mao peng shang si hao zi 	瞎貓碰上死耗子	c=1 d=1 t=95177
xia men 	廈門	c=1 d=1 t=34660
xia mian 	下麪	c=24 d=1.75201 t=167297
xia qu 	下區	c=32 d=2.92802e-05 t=176129
xia qu 	下去	c=23 d=1.00242 t=174462
xia qu 	轄區	c=1 d=9.00784e-07 t=176129
xia qu chi 	下去喫	c=1 d=1 t=9153
xia ren 	嚇人	c=6 d=1 t=108590
xia shou 	下手	c=1 d=1 t=125077
xia shuo 	瞎說	c=1 d=1 t=154310
xia tian 	夏天	c=5 d=1 t=171693
xia tou 	下頭	c=1 d=1 t=105290
xia wan 	下完	c=0 d=0.1 t=66832
xia wan ban 	下完班	c=1 d=1 t=66833
xia wen 	下問	c=1 d=1 t=21059
xia wen 	下聞	c=1 d=1 t=83031
xia wo 	嚇我	c=1 d=1 t=166075
xia wu 	下午	c=133 d=2.28835 t=176129
xia wu cha 	下午茶	c=8 d=0.00331508 t=176129
xia wu hao 	下午好	c=1 d=1 t=100120
xia wu yao 	下午要	c=1 d=1 t=112556
xia xia 	下下	c=1 d=1 t=66578
xia xia 	嚇嚇	c=2 d=3.78426e-10 t=176129
xia xia zhou 	下下週	c=1 d=1 t=72899
xia xiang 	瞎想	c=1 d=1 t=45998
xia xue 	下學	c=1 d=1 t=79453
xia xue 	下雪	c=8 d=1 t=140190
xia yi 	下一	c=0 d=0.1 t=59783
xia yi ban 	下一版	c=3 d=1 t=145224
xia yi ban ben 	下一版本	c=1 d=1 t=59784
xia yi ji 	下一級	c=1 d=1 t=92160
xia yi nian 	下一年	c=1 d=1 t=96502
xia you 	下有	c=1 d=1 t=52065
xia yu 	下雨	c=18 d=0.000343955 t=176129
xia yu ma 	下雨嘛	c=1 d=1 t=70189
xia zai 	下載	c=30 d=0.404542 t=176129
xia zhou 	下週	c=41 d=1.03996 t=175174
xia zhou er 	下週二	c=3 d=1.6942 t=129640
xia zhou san 	下週三	c=2 d=1 t=160594
xia zhou wo 	下週我	c=1 d=1 t=128459
xia zhou wu 	下週五	c=5 d=0.1 t=131365
xia zhou yi 	下週一	c=9 d=1 t=174402
xia zou lai 	下走來	c=1 d=1 t=8482
xian 	先	c=309 d=0.869358 t=176129
xian 	嫌	c=1 d=1 t=142264
xian 	掀	c=1 d=1 t=51811
xian 	現	c=8 d=1.07029e-05 t=176129
xian 	線	c=8 d=9.37706e-10 t=176129
xian 	閒	c=40 d=0.0441572 t=176129
xian 	限	c=2 d=1 t=11358
xian 	險	c=2 d=0.1 t=166816
xian 	顯	c=3 d=1 t=109588
xian 	鮮	c=0 d=0.1 t=80839
xian ba 	先把	c=8 d=1 t=109459
xian bu 	先不	c=2 d=1 t=47114
xian bu guan 	先不管	c=1 d=1 t=74037
xian bu mai 	先不買	c=1 d=1 t=108117
xian bu xia lai 	閒不下來	c=1 d=1 t=70245
xian bu yao 	先不要	c=1 d=1 t=131389
xian bu yong 	先不用	c=1 d=1 t=24394
xian ce shi 	先測試	c=1 d=1 t=100432
xian cha xia 	先查下	c=1 d=1 t=110778
xian chang 	現場	c=3 d=1 t=52864
xian cheng 	現成	c=3 d=1 t=141595
xian chi 	先喫	c=1 d=1 t=125307
xian chi fan 	先喫飯	c=1 d=1 t=110763
xian dai 	現代	c=0 d=4.55252e-09 t=176129
xian dai fei si ta 	現代菲斯塔	c=1 d=4.57534e-08 t=176129
xian dao zhang 	先到帳	c=1 d=1 t=12399
xian ding 	限定	c=3 d=1 t=145888
xian e 	限額	c=1 d=1 t=47951
xian fa 	先發	c=2 d=1 t=104675
xian gou 	限購	c=6 d=1.00001 t=19670
xian gu 	仙骨	c=1 d=1 t=36547
xian he 	顯赫	c=1 d=1 t=80041
xian huo 	現貨	c=1 d=1 t=117821
xian jie 	銜接	c=3 d=1 t=120986
xian jin 	現金	c=1 d=1 t=46753
xian ka 	顯卡	c=20 d=0.0170031 t=176129
xian kan 	先看	c=0 d=0.1 t=138209
xian kan kan 	先看看	c=1 d=1 t=138210
xian kan xia 	先看下	c=1 d=1 t=118690
xian lai 	先來	c=4 d=1 t=144227
xian liang 	限量	c=10 d=1 t=101704
xian lin 	閒林	c=2 d=1 t=152482
xian mai 	先買	c=1 d=1 t=97044
xian mu 	羨慕	c=166 d=1.16679 t=176129
xian mu biao ge 	羨慕表哥	c=1 d=1 t=171584
xian niu nai 	鮮牛奶	c=1 d=1 t=80840
xian qi 	嫌棄	c=4 d=1 t=135980
xian qu 	先去	c=27 d=1.00492 t=167628
xian shang 	線上	c=30 d=0.114228 t=176129
xian shi 	現實	c=3 d=1 t=114315
xian shi 	顯示	c=46 d=0.743148 t=176129
xian shi qi 	顯示器	c=8 d=1 t=114561
xian shu liang 	限數量	c=1 d=1 t=5073
xian suo 	線索	c=839 d=2.20649 t=176063
xian suo ban li 	線索辦理	c=1 d=1 t=55475
xian suo ku 	線索庫	c=24 d=1 t=146806
xian wei 	纖維	c=0 d=2.26579e-06 t=176129
xian wu 	險惡	c=3 d=8.56998e-09 t=176129
xian xia 	線下	c=1 d=1 t=126180
xian xiang 	現象	c=1 d=1 t=13722
xian xie 	先寫	c=1 d=1 t=49864
xian xin 	閒心	c=1 d=1 t=73559
xian xing 	現行	c=1 d=1 t=83108
xian xing 	限行	c=7 d=1.99005 t=66401
xian yi ren 	嫌疑人	c=8 d=2.34066 t=108657
xian yong 	先用	c=3 d=1 t=163172
xian yu 	鹹魚	c=11 d=1.94649 t=128411
xian za 	閒雜	c=2 d=1 t=79934
xian zai 	先在	c=1 d=1 t=69221
xian zai 	現在	c=473 d=0.896437 t=176129
xian zhe 	閒着	c=1 d=1 t=121373
xian zhi 	限制	c=16 d=4.4501e-05 t=176129
xian zou 	先走	c=2 d=1 t=151449
xian zuo 	先做	c=3 d=1.03143 t=167565
xiang 	像	c=27 d=1 t=172703
xiang 	向	c=4 d=1 t=97161
xiang 	想	c=213 d=0.225251 t=176129
xiang 	相	c=1 d=1 t=99378
xiang 	祥	c=3 d=1 t=107627
xiang 	箱	c=5 d=1 t=97369
xiang 	響	c=3 d=1.94649 t=172982
xiang 	項	c=4 d=0.1 t=82370
xiang 	香	c=7 d=1.00011 t=105559
xiang ai 	相愛	c=1 d=1 t=110566
xiang ban fa 	想辦法	c=1 d=1 t=86440
xiang bang 	相幫	c=2 d=1.00142 t=166768
xiang bu chu lai 	想不出來	c=1 d=1 t=69392
xiang bu kai 	想不開	c=1 d=1 t=139390
xiang bu ming bai 	想不明白	c=1 d=1 t=120423
xiang bu qi lai 	想不起來	c=2 d=1 t=135995
xiang bu xiang 	像不像	c=1 d=1 t=151913
xiang bu xiang 	想不想	c=4 d=1 t=170458
xiang cai 	香菜	c=1 d=0.000200439 t=176129
xiang cha 	相差	c=1 d=1 t=5909
xiang chi 	想喫	c=27 d=1.0047 t=146749
xiang chi dian 	想喫點	c=1 d=1 t=166568
xiang chi sha 	想喫啥	c=4 d=0.0184074 t=176129
xiang chi shang 	想喫上	c=1 d=1 t=97911
xiang chi shen me 	想喫什麼	c=1 d=1 t=97900
xiang chu qu 	想出去	c=1 d=1 t=111182
xiang dang 	相當	c=1 d=0.1 t=150340
xiang dang yu 	相當於	c=5 d=1 t=127356
xiang dao 	嚮導	c=3 d=1 t=133041
xiang dao 	想到	c=2 d=1 t=133042
xiang de 	想得	c=1 d=0.1 t=125846
xiang de 	香的	c=0 d=0.1 t=8882
xiang de hen 	香的很	c=1 d=1 t=8883
xiang de shi bu shi 	想得是不是	c=1 d=1 t=125847
xiang duo 	想多	c=1 d=1 t=136982
xiang fa 	想法	c=5 d=1 t=72860
xiang fan 	相反	c=1 d=1 t=69769
xiang fan 	襄樊	c=13 d=1 t=155768
xiang fu 	祥符	c=1 d=1 t=17176
xiang fu cheng 	祥符城	c=2 d=1 t=17308
xiang gang 	香港	c=3 d=1.94649 t=41675
xiang ge 	祥哥	c=4 d=1 t=175088
xiang gu gan 	箱骨幹	c=3 d=1 t=166939
xiang guan 	相關	c=130 d=0.486752 t=176129
xiang guan lian 	相關聯	c=3 d=1 t=156103
xiang guan qi ye 	相關企業	c=1 d=1 t=22931
xiang hao 	想好	c=7 d=7.44844e-08 t=176129
xiang hui qu 	想回去	c=1 d=1 t=39421
xiang jiao 	橡膠	c=1 d=1 t=109638
xiang jiao 	香蕉	c=1 d=1 t=169250
xiang kan 	想看	c=1 d=1 t=116470
xiang kan kan 	想看看	c=1 d=1 t=107153
xiang ku 	想哭	c=1 d=1 t=9934
xiang kuang 	相框	c=1 d=1 t=93689
xiang lian 	項鍊	c=3 d=1 t=140154
xiang mai 	想買	c=2 d=2.98299e-06 t=176129
xiang mai sa 	想買撒	c=1 d=2.99794e-05 t=176129
xiang mu 	項目	c=106 d=2.72638 t=175711
xiang mu a 	項目啊	c=1 d=1 t=127024
xiang ni 	想你	c=2 d=1 t=95507
xiang qi lai 	想起來	c=9 d=1 t=118632
xiang qi lai 	響起來	c=1 d=1 t=39225
xiang qin 	相親	c=2 d=1.956 t=110000
xiang qing 	詳情	c=124 d=1.94615e-10 t=176129
xiang qu 	想去	c=15 d=1 t=172670
xiang rang 	想讓	c=1 d=1 t=62017
xiang ru 	想入	c=1 d=1 t=13286
xiang shuo 	想說	c=2 d=1 t=67384
xiang tong 	相同	c=1 d=1 t=153958
xiang wan 	想玩	c=1 d=1 t=22650
xiang wo 	想我	c=2 d=1 t=116915
xiang wo qu 	想我去	c=1 d=1 t=28347
xiang xi 	相吸	c=1 d=1 t=115875
xiang xi 	詳細	c=12 d=1.00228 t=160141
xiang xiang 	想想	c=8 d=1.00003 t=163322
xiang xie 	想寫	c=2 d=1 t=166984
xiang xin 	相信	c=5 d=4.96923e-09 t=176129
xiang yang 	襄陽	c=7 d=5.87485e-08 t=176129
xiang yang mian 	襄陽麪	c=1 d=1 t=95746
xiang yang shi 	襄陽市	c=1 d=1 t=118928
xiang yao 	想要	c=2 d=1 t=172365
xiang ying 	相應	c=1 d=1 t=71215
xiang ying 	響應	c=1 d=1 t=174950
xiang yong 	想用	c=1 d=1 t=36336
xiang zai 	想在	c=2 d=1 t=38807
xiang zhe 	想着	c=8 d=0.148823 t=176129
xiang zhou 	襄州	c=1 d=1 t=118929
xiang zi 	箱子	c=2 d=1 t=147266
xiang zou 	想走	c=1 d=1 t=168568
xiang zuo 	想做	c=1 d=1 t=71893
xiao 	小	c=54 d=1.23349e-05 t=176129
xiao 	效	c=0 d=0.1 t=113865
xiao 	曉	c=5 d=1 t=168737
xiao 	消	c=4 d=1 t=90455
xiao 	笑	c=9 d=1 t=143035
xiao ai 	小愛	c=1 d=3.89818e-06 t=176129
xiao ban 	小半	c=1 d=1 t=43026
xiao ban nian 	小半年	c=1 d=1 t=160330
xiao ban tian 	小半天	c=2 d=1 t=112088
xiao bao bei 	小寶貝	c=1 d=1 t=80717
xiao bao ben 	小保本	c=1 d=1 t=76940
xiao bei 	小貝	c=1 d=1 t=27141
xiao bing 	小冰	c=1 d=1 t=7977
xiao bu men 	小部門	c=1 d=1 t=118383
xiao chao 	小炒	c=4 d=0.0384812 t=176129
xiao chao rou 	小炒肉	c=1 d=0.386741 t=176129
xiao che 	小車	c=0 d=0.1 t=165424
xiao che che 	小車車	c=1 d=1 t=165425
xiao cheng xu 	小程序	c=15 d=1 t=169349
xiao chi 	小喫	c=1 d=1 t=83600
xiao chu 	消除	c=1 d=1 t=59616
xiao chuan 	哮喘	c=1 d=1 t=25865
xiao cong 	小蔥	c=1 d=1 t=140512
xiao da ren 	小達人	c=2 d=1 t=109228
xiao dai 	小袋	c=2 d=1 t=158639
xiao dai zi 	小帶子	c=1 d=1 t=82719
xiao dan gao 	小蛋糕	c=1 d=1 t=172332
xiao dang jia 	小當家	c=1 d=1 t=76704
xiao de 	小德	c=1 d=1 t=8524
xiao de 	小的	c=1 d=1 t=20433
xiao de 	曉得	c=1 d=1 t=59726
xiao deng 	小鄧	c=2 d=0.000739157 t=176129
xiao di 	小弟	c=2 d=1 t=162644
xiao di 	小滴	c=1 d=1 t=104954
xiao dian 	小點	c=1 d=1 t=144033
xiao dian lv 	小電驢	c=1 d=1 t=46282
xiao dong xi 	小東西	c=1 d=1 t=165416
xiao du zi 	小肚子	c=4 d=1 t=103264
xiao fan qie 	小番茄	c=3 d=1 t=173743
xiao fang jian 	小房間	c=1 d=1 t=135989
xiao fei 	消費	c=4 d=1 t=104913
xiao fei zhe 	消費者	c=1 d=1 t=77917
xiao gang gang 	小缸缸	c=1 d=1.39552e-09 t=176129
xiao ge 	小哥	c=1 d=1 t=114470
xiao gong si 	小公司	c=8 d=1.58515e-08 t=176129
xiao gou 	小狗	c=1 d=1 t=99034
xiao gui mo 	小規模	c=1 d=1 t=130997
xiao guo 	效果	c=7 d=1.97045 t=153859
xiao guo hao 	效果好	c=1 d=1 t=77558
xiao guo tu 	效果圖	c=2 d=1.01278 t=123653
xiao guo tui 	效果退	c=1 d=1 t=25817
xiao hai 	小孩	c=2 d=1 t=132876
xiao hao 	小號	c=3 d=8.6323e-06 t=176129
xiao hao 	消耗	c=1 d=1 t=33635
xiao hei 	小黑	c=1 d=1 t=103050
xiao hong bao 	小紅包	c=1 d=1 t=71121
xiao hong san 	小红伞	c=1 d=1 t=100143
xiao hu shi 	小護士	c=2 d=1 t=78396
xiao hua 	消化	c=4 d=1.00021 t=173842
xiao hui er 	小會兒	c=1 d=1 t=143917
xiao hun 	銷魂	c=1 d=1 t=9806
xiao hun dun 	小餛飩	c=2 d=1 t=39731
xiao hun tun 	小餛飩	c=1 d=1 t=156887
xiao huo ban 	小夥伴	c=3 d=1 t=120651
xiao huo bao 	小火暴	c=1 d=1 t=87959
xiao ji 	小几	c=1 d=1.05406 t=6174
xiao ji 	小計	c=0 d=0.1 t=133680
xiao ji ba 	小几吧	c=1 d=1 t=6052
xiao ji li cheng 	小計里程	c=1 d=1 t=133681
xiao jiu shi 	小就是	c=1 d=1 t=96117
xiao ka 	小卡	c=3 d=1 t=173033
xiao kan 	小看	c=1 d=1 t=26072
xiao kang 	曉康	c=58 d=1.00695 t=165027
xiao la ji 	小垃圾	c=1 d=1 t=122485
xiao li 	小李	c=1 d=1 t=119960
xiao lian 	笑臉	c=1 d=1 t=110430
xiao liang 	銷量	c=2 d=1 t=128657
xiao ling shi 	小零食	c=2 d=1 t=166086
xiao long bao 	小籠包	c=2 d=1 t=164167
xiao lv 	效率	c=8 d=1 t=154344
xiao mei mei 	小妹妹	c=1 d=1 t=145785
xiao mi 	小祕	c=1 d=1 t=29918
xiao mi 	小米	c=54 d=1 t=173269
xiao mi la 	小米辣	c=2 d=1 t=168933
xiao mian bao 	小麪包	c=1 d=1.05435e-05 t=176129
xiao mie 	消滅	c=1 d=1 t=145712
xiao ming 	小命	c=1 d=1 t=70017
xiao ming 	小明	c=1 d=1 t=105233
xiao neng shou 	小能手	c=1 d=1 t=132423
xiao niao 	小鳥	c=1 d=1 t=139196
xiao pen 	小盆	c=1 d=1 t=74511
xiao peng 	小鵬	c=1 d=1 t=25146
xiao peng you 	小朋友	c=1 d=1 t=115899
xiao pi xie 	小皮鞋	c=1 d=1 t=122701
xiao qi 	小氣	c=1 d=1 t=155643
xiao qian 	小錢	c=3 d=1 t=155525
xiao qing xu 	小情緒	c=1 d=1 t=83756
xiao qu 	小區	c=8 d=1.00004 t=171735
xiao qun 	小羣	c=2 d=1 t=140658
xiao ren 	笑人	c=2 d=1 t=45939
xiao sa 	瀟灑	c=3 d=7.50584e-08 t=176129
xiao shan 	蕭山	c=2 d=1.96079 t=64145
xiao shi 	小時	c=147 d=0.134677 t=176129
xiao shi diao 	消失掉	c=1 d=1 t=51205
xiao shi hou 	小時候	c=2 d=1 t=157556
xiao shi qing 	小事情	c=1 d=1 t=83873
xiao shou 	銷售	c=2 d=1 t=139729
xiao shou e 	銷售額	c=1 d=1 t=170788
xiao shu dian 	小數點	c=1 d=1 t=86999
xiao shuo 	小說	c=17 d=2.69388 t=161391
xiao si 	笑死	c=6 d=1 t=93380
xiao ti da zuo 	小題大做	c=1 d=1 t=49447
xiao tu 	小圖	c=1 d=1 t=131523
xiao tuan huo ya 	小團伙呀	c=1 d=1 t=90059
xiao tui 	小腿	c=0 d=0.1 t=7017
xiao tui che 	小推車	c=1 d=1 t=50340
xiao tui ku 	小腿褲	c=1 d=1 t=7018
xiao wa zi 	小娃子	c=1 d=1 t=45686
xiao wen ti 	小問題	c=7 d=1.56965e-10 t=176129
xiao xi 	消息	c=144 d=1.00098 t=170271
xiao xiang 	小象	c=3 d=1 t=171937
xiao xiao 	小小	c=1 d=1 t=128786
xiao xiao qi 	消消氣	c=2 d=1.79057 t=128926
xiao xin 	小心	c=4 d=4.05728e-07 t=176129
xiao xin si 	小心思	c=1 d=1 t=144897
xiao xue 	小學	c=3 d=1.21908e-07 t=176129
xiao yan yao 	消炎藥	c=1 d=1 t=105492
xiao yi 	效益	c=0 d=0.1 t=109839
xiao yu 	小於	c=2 d=1 t=67061
xiao yu 	小雨	c=2 d=1 t=126508
xiao yuan zi 	小圓子	c=1 d=1 t=81799
xiao zhao 	校招	c=1 d=1 t=15709
xiao zhe 	笑着	c=1 d=1 t=60609
xiao zhen 	小震	c=2 d=1.03976 t=168781
xiao zhen suo 	小診所	c=1 d=1 t=82687
xiao zhong 	小衆	c=1 d=1 t=122995
xiao zhuo zi 	小桌子	c=1 d=1 t=80977
xiao zuo wen 	小作文	c=2 d=1.76338 t=47090
xie 	些	c=36 d=0.000117391 t=176129
xie 	協	c=1 d=1 t=33600
xie 	卸	c=1 d=1 t=136918
xie 	寫	c=386 d=1.2838 t=176129
xie 	屑	c=1 d=1 t=27945
xie 	攜	c=1 d=1 t=72423
xie 	歇	c=2 d=1 t=90007
xie 	瀉	c=1 d=1 t=50350
xie 	謝	c=5 d=1.75578 t=175405
xie 	鞋	c=1 d=1 t=80070
xie ban ren 	協辦人	c=7 d=1 t=114607
xie bu chu lai 	寫不出來	c=2 d=1 t=85204
xie bu wan 	寫不玩	c=2 d=1 t=83143
xie chu 	寫出	c=0 d=0.1 t=81639
xie chu lai 	寫出來	c=3 d=1 t=120563
xie chu lo ai 	寫出咯唉	c=1 d=1 t=81640
xie cuo 	寫錯	c=7 d=1 t=173501
xie cuo le 	寫錯了	c=1 d=1 t=99771
xie da ge 	謝大哥	c=1 d=1 t=105354
xie dai ma 	寫代碼	c=17 d=1.86437e-05 t=176129
xie dao 	寫到	c=6 d=1 t=173402
xie de 	寫的	c=70 d=0.00066582 t=176129
xie dian 	寫點	c=1 d=1 t=7574
xie dian 	鞋墊	c=1 d=1 t=79021
xie fa 	寫法	c=2 d=1 t=135394
xie ge 	寫個	c=22 d=1 t=160740
xie guo 	寫過	c=1 d=1 t=81635
xie hao 	寫好	c=18 d=1.0001 t=174269
xie hui er 	寫會兒	c=2 d=1 t=129415
xie hui er 	歇會兒	c=1 d=1 t=74434
xie jia 	鞋架	c=2 d=1.96079 t=138787
xie lao 	偕老	c=1 d=1 t=12472
xie le 	寫了	c=1 d=1.91157e-05 t=176129
xie lou 	泄漏	c=1 d=1 t=139723
xie qi lai 	寫起來	c=2 d=1.00001 t=35421
xie qian 	些錢	c=0 d=0.1 t=27396
xie ru 	寫入	c=13 d=1.47501 t=173585
xie sha 	挾殺	c=1 d=1 t=102357
xie shang 	協商	c=1 d=1.10288e-05 t=176129
xie shang 	寫上	c=1 d=1 t=45264
xie tong 	協同	c=26 d=1.00007 t=155054
xie tong ren 	協同人	c=1 d=1 t=45793
xie wan 	寫完	c=62 d=0.00316163 t=176129
xie wo 	謝我	c=1 d=1 t=77821
xie xie 	寫寫	c=6 d=1 t=175878
xie xie 	歇歇	c=1 d=1 t=98291
xie xie 	謝謝	c=3 d=1 t=175880
xie ya 	血壓	c=1 d=1 t=35339
xie yi 	協議	c=3 d=1 t=69105
xie yi dian 	寫一點	c=2 d=1 t=91795
xie yi ge 	寫一個	c=2 d=1 t=156830
xie zai 	卸載	c=3 d=1 t=62868
xie zai 	寫在	c=3 d=2.4059e-05 t=176129
xie zai na er 	寫在那兒	c=3 d=1 t=173625
xie zhe 	寫着	c=3 d=1 t=132397
xie zhe ge 	寫這個	c=4 d=1 t=127057
xie zhou bao 	寫週報	c=4 d=1.82696 t=112800
xie zhu 	協助	c=10 d=1 t=126652
xie zhu xia 	協助下	c=1 d=1 t=100437
xie zi 	鞋子	c=1 d=1 t=143448
xie zuo 	協作	c=38 d=1.41054 t=166562
xin 	信	c=5 d=1 t=131312
xin 	心	c=15 d=1.29083 t=161677
xin 	新	c=205 d=1.04418 t=176129
xin 	昕	c=3 d=1.75578 t=67470
xin 	芯	c=1 d=1 t=6795
xin 	薪	c=3 d=1 t=15476
xin an 	心安	c=1 d=1 t=24899
xin chan pin 	新產品	c=1 d=1 t=51643
xin de 	新的	c=8 d=1.0061 t=131326
xin dian nao 	新電腦	c=1 d=1 t=84753
xin fa xian 	新發現	c=1 d=1 t=92881
xin ge 	新歌	c=1 d=1 t=11618
xin gong neng 	新功能	c=1 d=1 t=154079
xin gong si 	新公司	c=1 d=1 t=25624
xin hao 	信號	c=7 d=1 t=90113
xin hao 	新號	c=1 d=1 t=139705
xin huang 	心慌	c=1 d=1 t=25896
xin jian 	新建	c=25 d=1 t=171083
xin jian de 	新建的	c=1 d=1 t=37802
xin jiang 	新疆	c=3 d=1 t=40030
xin kai 	新開	c=2 d=1 t=78167
xin ku 	辛苦	c=38 d=1.06051 t=175887
xin ku dian 	辛苦點	c=1 d=1 t=50329
xin kuan 	新款	c=2 d=1 t=96463
xin lai 	心來	c=2 d=1 t=41588
xin lai 	新來	c=1 d=1 t=41589
xin lang 	新郎	c=1 d=1 t=119087
xin li 	心裏	c=10 d=1 t=142508
xin li hua 	心裏話	c=1 d=1 t=31931
xin lv 	心率	c=2 d=1.96079 t=9185
xin neng yuan 	新能源	c=1 d=1 t=51995
xin pao 	新跑	c=1 d=1 t=164915
xin pian 	芯片	c=3 d=1.68729 t=50619
xin pin 	新品	c=1 d=1 t=10368
xin qing 	心情	c=3 d=1 t=167752
xin ren 	新人	c=33 d=2.04755 t=76219
